#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Image URL,Image Path,JPG Path
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,pokemon_images\Bulbasaur.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EAE8C50>
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,pokemon_images\Ivysaur.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861E7F0920>
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,pokemon_images\Venusaur.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC019A0>
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False,,,
4,Charmander,Fire,,309,39,52,43,60,50,65,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,pokemon_images\Charmander.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC019D0>
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,pokemon_images\Charmeleon.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC01B50>
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,pokemon_images\Charizard.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC01DC0>
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False,,,
6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False,,,
7,Squirtle,Water,,314,44,48,65,50,64,43,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,pokemon_images\Squirtle.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC01E50>
8,Wartortle,Water,,405,59,63,80,65,80,58,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,pokemon_images\Wartortle.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC01EE0>
9,Blastoise,Water,,530,79,83,100,85,105,78,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,pokemon_images\Blastoise.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02030>
9,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False,,,
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,pokemon_images\Caterpie.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC01F70>
11,Metapod,Bug,,205,50,20,55,25,25,30,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,pokemon_images\Metapod.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861E6D9490>
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,pokemon_images\Butterfree.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC020C0>
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,pokemon_images\Weedle.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC020F0>
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,pokemon_images\Kakuna.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC021B0>
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,pokemon_images\Beedrill.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02300>
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False,,,
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,pokemon_images\Pidgey.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02240>
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,pokemon_images\Pidgeotto.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02330>
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,pokemon_images\Pidgeot.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC023C0>
18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False,,,
19,Rattata,Normal,,253,30,56,35,25,35,72,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,pokemon_images\Rattata.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02450>
20,Raticate,Normal,,413,55,81,60,50,70,97,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,pokemon_images\Raticate.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC024E0>
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,pokemon_images\Spearow.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02570>
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,pokemon_images\Fearow.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02600>
23,Ekans,Poison,,288,35,60,44,40,54,55,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,pokemon_images\Ekans.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02690>
24,Arbok,Poison,,438,60,85,69,65,79,80,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,pokemon_images\Arbok.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02720>
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,pokemon_images\Pikachu.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC027B0>
26,Raichu,Electric,,485,60,90,55,90,80,110,1,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,pokemon_images\Raichu.png,<PIL.PngImagePlugin.PngImageFile image mode=P size=96x96 at 0x2861EC02840>
